Plate,Customer_meaning,Reviewer_comments
THESKOG,MY LAST NAME IS LINDSKOG,OG, GANG REFERENCE
T15O6O4,MEMORIAL DAY,LOOK ALIKE
URPWRFL,YOU ARE POWERFUL,YOU, HOSTILE
WURKRB,WORK 2 JOBS-- WORKER BEE,THE B COULD STAND FOR BITCH
XIIIXV,,13, GANG REFERENCE
XXXO711,ANNIVERSARY DAY,XXX, SEXUAL REFERENCE
YOLOD,I LOVE MUD IN SPANISH,THE D COULD STAND FOR DICK
ZHPMFIA,THE HORSE POWER MACHINE FORCED INDUCTION AUTOMOBILE,MAFIA, GANG REFERENCE
1MSTNG3,THE CAR'S MODEL.,13, GANG REFERENCE
1RKY3,,13, GANG REFERENCE
1386,REPRESENTS HAPPY LIFE IN CHINESE,ALL DIGITS
2SMOKEQ,WE LOVE 'TO SMOKE YOU' ON THE TRAIL. I RIDE ENDURANCE HORSES FAST AND LOVE TO WIN! AND MY HORSE'S NAME IS SMOKE FOR ADDITIONAL MEANING.,SMOKE, DRUG REFERENCE. 2 SMOKE YOU, HOSTILE
3791,REFERENCE TO LORD OF THE RINGS NOVEL. PLEASE MAKE THE NUMBERS CENTERED.,ALL DIGITS
5SIX2SS,562 SS,AREA CODE
5555O,YEAR AND MAKE OF CAR,ALL DIGITS
5846,,ALL DIGITS
65VET69,VETERAN FROM 1966 TO 1969,69, SEXUAL REFERENCE
916YOTE,SACRAMENTO COYOTE,AREA CODE
BONIT1,MY GOD DAUGHTER,LOOKS LIKE BONE IT, SEXUAL REFERENCE
CHLE88,CHLOE'  IS MY DAUGHTER'S NAME, I'VE USE THE HEART SYMBOL FOR THE  'O' AND 88 IS MY LUCKY NUMBER,88, GANG REFERENCE
FIREFN,FOR SPORTS TEAM,FN COULD STAND FOR FUCKING
PEENUTZ,THIS IS THE NAME OF MY GIRLFRIEND,NUTS, SEXUAL REFERENCE
PSYCUB,THE FIRST PART IS AN ABBREVIATED FORM OF PSYCHOLOGIST AND THE SECOND PART IS A SMALL BEAR,PUSSY, SEXUAL REFERENCE
TAMA14,SONS NAME,14,GANG REFERENCE
GSTRAIT,GEORGE STRAIT FAN,G, GANG REFERENCE
HCVAPE,,VAPE, DRUG REFERENCE
MEDIC18,MEDIC 18 REPRESENTS THE AGE I WILL BECOME A CERTIFIED EMT/MEDIC.,18, GANG REFERENCE
SEXYJ,FOR MY 1955 JAGUAR.,THE J COULD STAND FOR JOINT
WALNUTC,,NUT, SEXUAL REFERENCE
6DMNKDS,,6 DAMN KIDS, DAMN PROFANITY
HI5HPNO,HGIH 5 HYPNOSIS,HI, DRUG REFERENCE
2BEACHS,GOING TO THE BEACH,BEACH CAN BE A WORD USED FOR BITCH
AWNUTZ,"CHARLIE BROWN ALWAYS SAY'S ""AWE RATS"", BUT IT'S PEANUTS, SO WE LIKE THIS FOR IT.  LIKE YOU'RE SAYING, OH DARN.",NUTS, SEXUAL REFERENCE
ALLUC,ALL YOU SEE IS THE BACK OF MY CAR,YOU, HOSTILE
ARCE,MY NAME,SIMILAR TO ARSE, ANOTHER WORD FOR ASS
BADAZK9,,BAD ASS, PROFANITY
BLUENGT,THE COLOR MY CAR REPRESENTS,BLUE, GANG REFERENCE
BMCMBB,BOATSWAIN'S MATE MASTER CHIEF  BABY BOATS,BB CAN STAND FOR BAREBACK
BUYUE,BU YUE,BOO YOU, CAN BE TAKEN AS HOSTILE
B15O6O4,MEMORIAL DATE,LOOK ALIKE
COACH14,BASEBALL COACH,14, GANG REFERENCE
CRUZ4O8,CRUZ IS MY LAST NAME 408 AREA CODE,AREA CODE
CWWOODY,MY CAR IS A WOODY PT CRUISER,WOODY, COULD BE SEXUAL
C8ZBTCH,MY NICKNAME,BTCH COULD BE SHORT FOR BITCH, PROFANITY
DAMNEZ,,DAMN, PROFANITY
DANK65,DANG KOOL 65,DANK CAN BE A WORD USED TO DESCRIBE GOOD WEED
DODOODO,MY DAD'S & GRANPA INITIALS,LOOK ALIKE
DORIFU,DORITO FURITO LAYS,LOOKS LIKE DORI FUCK YOU
DSLLVRS,DIESEL LOVERS,DSL LOVERS, DSL CAN STAND FOR DICK SUCKING LIPS
DTTMPME,DON'T TEMP ME,DON’T TEMPT ME, COULD BE HOSTILE
DUNCUTN,,CUTTIN CAN MEAN HAVING SEX
EDC9MM1,EVERY DAY CARRY 9 MILLIMETER 1,9MM IS A WEAPON REFERENCE
EM18IM,EDUARDO MORALES 18TH IVANA MORALES,18, GANG REFERENCE
FADEDME,HAIRSUT STYLE,FADED CAN MEAN BEING UNDER THE INFLUENCE OF DRUGS
FASTF69,MY NAME FASTFREDDIE AN FOOTBALL #,69, SEXUAL REFERENCE
FLYERFN,PHILIDELPHIA FLYERS FAN.  THE HOCKEY TEAM. :),FN CAN MEAN FUN BUT IT CAN ALSO STAND FOR FUCKING
GLUNA,G MEANS TO ME MY SONS FIRST LETTER OF HIS NAME AND LUNA MEANS MOON IN SPANISH,G, GANG REFERENCE
GRDJR14,LITTLE BROTHE RHWO PASSED AWAY.,14, GANG REFERENCE
HDUBZZ,MY NICKNAME,DUB, DRUG REFERENCE
HZE,THESE ARE MY INITIALS OF MY NAME.,HAZE CAN BE A DRUG REFERENCE
ICUCAR,EYE SEE YOU CAR,I SEE YOU, CAN BE TAKEN AS HOSTILE
IDEAL13,,13, GANG REFERENCE
JDUBS,MY CAR NICKNAME....,DUB, DRUG REFERENCE
JIM1BMF,NAME,JIM ONE BAD MOTHER FUCKER
JKGHU14,FIRST INUTIAL AN YEAR BABY WAS BORN,14, GANG REFERENCE
JMAC5O,MY HUSBANDS NICK NAME AND HIS AGE,5O, POLICE REFERENCE
JMUSKY,NICKNAME,THE J COULD STAND FOR JOINT
J14L,FIRST INTIAL AND LAST INITIAL NAME, AND FAVORITE NUMBER,14, GANG REFERENCE
KCKROCK,KICK ROCKS,SOME COULD FIND KICK ROCKS HOSTILE
MACCEJ,MADISON AVE CARPET CLEANING MIDDLE AND LAST NAME INITIAL,MAC CAN BE ANOTHER WORD FOR A PIMP
MAC7MAN,MY NAME IS MAC. WANTED MACMAN OR MACAMAN BUT BOTH WERE TAKEN SO ILL USE A 7 IN THERE,MAC CAN BE ANOTHER WORD FOR A PIMP
MMAMAB,SHORT WAY OF SAY MAMA BORNSTEIN OUR LAST NAME,THE B COULD STAND FOR BITCH
MOBSQAD,MOBSQUAD IS NICKNAME FOR RAMS FOOTBALL TEAM,MOB, GANG REFERENCE
MOBTFL3,MO IS FOR MONIQUE AND BTFL MEANS BEAUTIFUL,MOB, GANG REFERENCE
MUTTMBL,MUTT MOBILE,MUTT CAN BE A DEROGATORY WORD USED TO DESCRIBE SOMEONE OF MIXED RACES
M143O,INITIALS AND BIRTHDAY,14, GANG REFERENCE
NBBLEU,IT'S THE NAME OF MY CITY AND MY DOG,BLUE, GANG REFERENCE
ONYXCAT,CAR IS A BLACK COLOR JAGUAR XK8. ONYX CAT WOULD BE A REFERENCE TO A BLACK CAT,CAT, SEXUAL REFERENCE
PEKAZZZ,NICK NAME,SIMILAR TO PECKER, ANOTHER WORD FOR A PENIS
PERLBBY,PERL COLOR,PEARL CAN BE ANOTHER WORD FOR A VAGINA
PROVIX,THE MEANING IS THE NAME OF THE CAR. WHICH IS PROJECT VICTORIA.,XIV BACKWARDS, GANG REFERENCE
REDMAN1,NICKNAME,RED, GANG REFERENCE
REKHAVK,WE ARE HUGE FANS OF MARVEL COMICS AND. HARLEE QUINN,WREAK HAVOC COULD BE TAKEN AS HOSTILE
RIOTII,"MY MOTORCYCLE PLATE IS ""RIOTDER"", SO THIS WOULD BE IN REFERENCE TO THAT, MAKING MY TRUCK AND MOTORCYCLE MATCH.",RIOT, CAN BE CONSIDERED HOSTILE
SJMJBJ,ME AND MY KIDS INITIALS,THE BJ AT THE END STANDS OUT, BJ STANDS FOR BLOW JOB
SLOW2SS,CAMARO 2SS IS SLOW,LOOKS SIMILAR TO SLOW ASS
SMOKT,SMOKED OUT PAINT JOB,SMOKED, DRUG REFERENCE
SNODOGY,,SNOW CAN BE ANOTHER WORD FOR COCAINE
TM66CAT,TOM'S 1966 CATALINA,CAT, SEXUAL REFERENCE
TTO7,TRIPLE THREAT WAS THE NAME OF MY COMPANY AND 2007 WAS THE YEAR IT FOUNDED,TT CAND STAND FOR TITTIE
TXTACO,TOYOTA XTREME TACOMA,TACO, SEXUAL REFERENCE
WHTTACO,WHITE TACOMA,TACO, SEXUAL REFERENCE
WOODIE2,MY CAR IS MADE OF WOOD,WOODY, COULD BE SEXUAL
WYTHSE,"WHITE HOUSE, AS WE REFER TO OUR HOME. THIS IS FOR OUR RV, THE ""WHITE HOUSE"" ON WHEELS.",HSE COULD STAND FOR HOES
XLCROG,EXTRA LARGE CAR  OMA GRANDPA,OG, GANG REFERENCE
XXTRDXX,TOYO RACING DEVELOPMENT,TERD, OBSCENE
YMISOHO,WHY AM I SO NICE(CHINESE),WHY ME SO HOE
1CRUZ3,NAME AND BIRTHDAY,13, GANG REFERENCE
14CYOTE,2014 MUSTANG AND THAT MODEL HAS THE NICKNAME COYOTE,14, GANG REFERENCE
14JK911,MODEL YEAR, INITIALS, MODEL TYPE,14, GANG REFERENCE
18924,,18, GANG REFERENCE
1969JET,OWN A 1969 FORD MUSTANG COBRA JET MACH 1,69, SEXUAL REFERENCE
22728,AARAV MY SONS NAME DIALING OF PHONE,ALL DIGITS
5OHBOSS,5.0 BOSS MUSTANG, LIKE 1960S BOSS 302 MUSTANG, 5 LITER ENGINE 2015 MUSTANG.,5O, POLICE REFERENCE
6FOAD9,ANOTHER DAY,69, SEXUAL REFERENCE
6LOGIC9,SMART,69, SEXUAL REFERENCE
661RLTR,661 REALTOR,AREA CODE
69TCJO2,"PERSONAL, FAMILY.",69, SEXUAL REFERENCE
78MIDGT,CAR YEAR AND TYPE,MIDGET, OFFENSIVE
8OCR8,8 OBSTACLE COURSE RACE 8,88, GANG REFERENCE
88LEI18,LEI IS MY WIFE FIRST NAME. 8818 IS LUCKY NUMBER,88, 18, GANG REFERENCE
922O7,DATE OF ANIVERSARY,ALL DIGITS
PUCK1,,SIMILAR TO FUCK
81796,ANNIVERSARY,ALL DIGITS
FORDFX,MODEL OF MY CAR,FX COULD STAND FOR FUCKS
AGENT88,OWNER IS A REAL ESTATE AGENT.,88, GANG REFERENCE
ELM1428,FAVORITE CHILDHOOD MOVIE,THE 14 STANDS OUT, GANG REFERENCE
MADTANK,,TANK, WEAPON REFERENCE
MEOW17,LOVE MY CATS,MEOW, SEXUAL REFERENCE
PONS5O,PONS IS MY HUSBAND'S NAME, I ACQUIRED THE VEHICLE WHEN HE WAS 50 YRS OLD.,5O, POLICE REFERENCE
ROBIN69,DRIVERS NAME AND LUCKY NUMBER,69, SEXUAL REFERENCE
YABURNT,YOU ARE A BURNT CHARACTER,BURNT CAN BE A TERM USED TO DESCRIBE A PERSON IS PERMANENTLY STONED
16REDV,YEAR, COLOR, MODEL,RED, GANG REFERENCE
8LOWEN8,NAME,88, GANG REFERENCE
IAPRUVU,I AM A LOAN OFFICER,YOU, HOSTILE
AF8117O,AIR FORCE SPECIALTY CODE FOR SECURITY POLICE SUPERVISOR,AF AS FUCK
AF 91,AIR FORCE 1991,AS FUCK
AJSGMFB,INITIALS,GET MONEY FUCK BITVHES
AJS MOB,INITIALS,MOB
AMO ADAN,IT MEANS 'I LOVE ADAN' IN SPANISH.,AMMO
ARAS 13,KIDS NAMES AND YEAR MY SON WAS BORN,13 GANG REFERENCE
AUG17 14,OUR WEDDING DATE,14 GANG REFERENCE OR COULD BE DATE
AYEYOBO,HEY YO BO (DOGS NAME),AYE BAD BOY
BAC END,I SELL VEHICLE BACK END PRODUCT FOR A LIVING,COULD BE A SEXUAL TERM BACK END BUTT
BAC RDGY,BACK ROAD GUY. TAKE THE LONG WAY OR A DIRT ROAD,BACK ROAD GUY COULD BE A SEXUAL REFERENCE
BADAZBX,BAD ARIZONA BOXSTER,BAD ASS
BANGN 56,NICE (YEAR OF CAR 1956),BANGIN COULD MEAN GOOD OR BE A GANG REFERENCE
BASKT CS,MY LAST NAME IS CASE. BASKET CASE IS MY NICK NAME. MY EMAIL IS BSKTCSE@ME.COM,BASKET CASE
BBYCAVE,MY CAR IS LIKE MY BABY! I TAKES ME EVERYWHERE AND IT GETS ME WHERE I NEED TO GO,BABY CAVE SLANG FOR VAGINA
BDAZRAM,COOL RAM,BAD ASS
BEFOK,"AFRIKAANS SLANG TERM MEANING ""GREAT"" OR ""CRAZY GOOD""",FOK LOOK LIKE FUCK
BEWBCHL,,BOOBIE CHICK
BIG A 4,,BIS ASS 4
BITE EM,SNAKES BITE. THE VEHICLE IS A SHELBY COBRA.,COULD MEAN TO TAKE SOMEONES STYLE OR COULD BE A TERM OF HOSTILITY OR SEXUAL
BLADED1,OWNER IS A MARTIAL ARTS PRACTIONER,WEAPON
BLRDUP,OWNER IS A MARTIAL ARTS PRACTIONER,BALLER DUF
BONO 9111,PERSONAL MESSAGE,911 EMERGENCY
BOSS MAG,COMPANY NAME,COULD MEAN MAGAZINE LIKE BOOK OR GUN
BUCKTHT,BUCK THAT. CAR IS A BRONCO AND THE SPARE TIRE COVER IS A BUCKING BRONCO AS WELL AS THE SIDE EMBLEM,FUCK THAT
BUCNBRC,BUCKING BRONCO BECAUSE ITS A BRONCO,CAN NOT TRANSLATE
BUNKYO,WARD OF TOKYO JAPAN, ONE OF MY FAVORITE CITIES WHILE VISITING,FUCK YO
CD9LBS1,IT'S THE TITLE OF A PIECE OF MUSIC WRITTEN FOR ME WHEN I WAS BORN.,CLOUD NINE WEED REFERENCE
CMXIV,ROMAN NUMERALS FOR 914 MY MONTH AND DATE OF BIRTH. SEPTEMBER 14.,XIV GANG REFERENCE
COCHE 73,CALLSIGN AND YEAR OF BIRTH,MEANS CAR IN SPANISH BUT LOOK SLIKE COOCHIE A SEXUAL TERM
CODE MKY,CODE MONKEY IS A NICKNAME FOR SOFTWARE DEVELOPERS - WHICH I AM.,LOOKS LIKE MONKEY
COONZ1,MY LAST NAME SPELLED DIFFERENT WITH #1,DEROGATORY TERM FOR BLACK PEOPLE
CP997MF,ME AND MY WIFE'S INITIALS SURROUNDING 997 WHICH IS THE MODEL OF OUR PORSCHE,MF MOTHER FUCKER
CRSY HYE,,CRZY HIGH
DADDYDZ,N/A,DADDY DZ AS IN THESE NUTS
DA FQ,I AM DRUMMER IN A BAND NAMED DA FREQUENCY,DA FUCK
DAMOE,COMPANY NAME,DAMN
DAM8RO,THE CAMARO,DAMN BRO
DARM 16,NAME AND LUCKY NUMBER,DAMN
DCKOMIX,I REALLY LOVE READING DC COMICS SO I WANTED TO GET SOMETHING THAT IM PASSIONATE ABOUT,LOOKS LIKE DICK
DIEGUE2,LAST NAME DIEGUEZ WITH A 2 INSTED OF Z,LOOKS LIKE DIE OR DIEGO
DIGLER,IT'S MY NICKNAME FROM MY CLOSE FRIEN,LIKE DIRK DIGLER
DIRTDMN,DIRT DEMON,DIRT DEMON
DOODWTF,DUDE WAIT TILL FRIDAY BECAUSE FIRDAY WE GET PAID :),ALREADY HAS UNACCEPTABLE STAUS ON IT. DUDE WHAT THE FUCK
DRKSKN 1,DARK SKIN 1,DARK SKIN ONE
DRODOE,NICKNAME,DRO AS IN WEED DRO THOUGH
DYNGHY,ITS SPELLED LIKE THIS BECAUSE DINGHY ISNT AVAILABLE. ITS FOR A JEEP WERE TOWIG BEHIND OUR RV HENCE DINGHY.,DINGY
ESE RIX,THAT'S RICKS,ESSAY RICK GANG REFERENCE
FCKDAT,FIRST NAME INITIAL LAST NAME DIGITAL AUDIO TECHNOLOGY ( BUSINESS ),FUCK THAT
FELIR EY,IT IS MY FIRST AND LAST NAME. IT STANDS FOR FELIPE REYNOSO,FEEL HER EY
F MIRZA,FARHAN MIRZA,FUCK MIRZA
FNN LEXS,FUN LEXUS,FUCKING LEXIS
FSTSHKR,CHALLENGER IS SHAKER MODEL,FAST SHAKER  SEXUAL REFERENCE
FUTIE 2,MY NICKNAME,FUCKING CUTIE
F9 69,FINE 1969 MUSTANG,69 SEXUAL REFERENCE
GANG PAO,THIS IS MY NICKNAME IN CHINESE,GANG
GASR NUT,THE CAR IS A GASSER CAR THAT WAS BUILT IN THE 60'S,NUT
G LO1956,NAME AND YEAR OF BIRTH,G AS IN GANGSTER
GRNDUP1,GROUND UP 1,GRIND UP ONE WEED
GTKILLA,GOOD TQUILA,KILLA
GT4 SKIN,I OWN A SURFBOARD BUSINESS CALLED SKIN SURF WEAR. THIS PLATE IS GOING ON MY PORSCHE GT4.,FORE SKIN
HE H8ME 3,MY VIDEO GAME USERNAME, AN IDEA I TOOK FROM A 1YR FOOTBALL PROGRAM THE WWF HAD WHERE U CREATE OWN NAME ON JERSEY.,HE HATE ME
HIGH4BY,TRUCK HIEIGHT,HIGH
HOOHOSS,MY TRUCK'S NAME IS HOSS AND I FOUND HIM AT HARVEST AUTO & MACHINERY IN WAHOO, NEBRASKA. TRUE STORY!,ANOTHER NAME FOR A PRIVATE PART
HUS UDDY,MY CHILDHOOD NICK NAME,WHOS YOUR DADDY
H8TD4RD,HATED FORD,HATED
I FAP,OFTEN USED TO SUGGEST THAT SOMETHING IS ATTRACTIVE.,FAP MASTURBATE
ILV MARE,I LOVE MY WIFE, MARILYN=,I LOVE MARE FEMALE HORSES
IMAPNES,FIRST LETTER OF FAMILY MEMEBER NAMES,IM A PENIS
INDO247,I DO 24 7,INDO 24/7
IN666US,WEDDING ANNIVERSARY,DEVIL IN US
JFDM666,THIS IS OUR FAMILY CAR. FAMILY INITIALS AND NUMBERS.,666 EVIL
JGA DNXI,"A PHONETIC TRANSLITERATION OF ""ZHEGE DONGXI"" (PROUNOUNCED JIGGA DONGSHEE), WHICH MEANS ""THIS THING"" IN MANDARIN CHINESE.",JIGGA
KIKNROK,KICK ROCKS,KICKIN ROCKS
KILRBEZ,BUMBLE BEE BADGES INSIDE AND OUTSIDE OF THE VEHICLE,KILLER BEEZ
KUDAH,KATES NICKNAME FOR LIKING SHINNING THINGS LIKE A BARRACUDA,COOTER
KUEENBE,NICKNAME  QUEEN B,QUEEN BEE
KY GIRL,I AM A KENTUCKY NATIVE,KY JELLY
LABITCH,NAME OF CAR,LA BITCH
LILGGON,,GOON AS IN GANGSTER
LIL PLUG,I HAVE A SMALL BMW PLUG IN, ELECTRIC CAR,SOMEONE WHO HAS THE DEALS ON THE DRUGS A LITTLE BIT
LLLBOOM,LORI LYNN LAVOIE BOOM HERE I AM.),BOOM AS IN BOMB
LOVNACI,LOVE NACIMENTO LAKE LOCAL CALIF LAKE,LOVE NATZI
L82859O,LOVE FOR MY KIDS,LOOK A LIKE
MEYITA,WIFE NICKNAME,LOOKS LIE A SPANISH CURSE WORD
MIATUNA,"I NAMED MY MAZDA MIATA ""TUNA"" SO A PLAY ON ""MIATA"" AND ""I AM TUNA""",TUNA
MNGOZ66,MY NICKNAME PLUS I HAVE A CHEVY AVALANCHE Z66,MONGOLS MC GANG
MR YEYO,MY NICK NAME,YEYO COCAINE
M4 THIS,M4 THIS,M4 GUN
NASTY AF,NICE CAR, CUSTOM TYPE VEHICLE, TERM FOR LOUD FAST OLDER CAR,NASTY AS FUCK
NEGRO A8,IS THE NUMBER THAT ALWAYS I HAVE IN MY FOOTBALL SHIRT,NEGRO
NITE CAT,NIGHT CAT,CAT
NT PINK,COLOR OF CAR IS RASPBERRY NOT PINK,PINK
NVHO7GG,NAME OF INITIALS AMD FAVORITE NUMBER,CAN NOT TRANSLATE
N318OW,MY AIRPLANE NUMBER,LOOK  A LIKE
OGFLOYD,ORANGE FLOYD AN HOMAGE TO PINK FLOYD WITH MY ORANGE JEEP SUV,OG ORIGINAL GANGSTER
OIOO1OI,OLIVER IN OLIVER OLIVER ONE OLIVER IN,LOOK A  LIKE
OKS TACO,OK'S TACO....MY TRUCK IS A TOYOTA TACOMA PLATE SHOULD READ........   OKS TACO,TACO
OMG BEE,OH MY GOD, BEE!,OH MY GOD BITCH
OMW2BCS,ON MY WAY TO BAJA CALIFORNIA,ON MY WAY TO …
OMW2FY6,ON MY WAY TO FISH YOUNG BASS,ON MY WAY TO FUCK YOUR GIRL
ON CUSHN,ON CUSHION, IN REGARDS TO AIR RIDE/BAG SUSPENSION,KUSH WEED
OQOQOOQ,MY GRANDMOTHERS LUCKY NUMBERS AND LETTERS,LOOK A LIKE
ORTIZ 13,LAST NAME AND FAVORITE NUMBER,13 GANG REFERENCE
O11Q3O4,JUST RANDOM FAVORITE NUMBERS & LETTER. NOTHING CRAZY =),LOOK A LIKE
O12499J,FAVORITE NUMBERS,LOOK A  LIKE
O97 TOY,YEAR AND MAKE OF CAR,LOOK A LIKE
PARMAR G,MY LAST NAME,G AS IN GANGSTER
PETHEAD,NICKNAME FOR PET SHOP BOYS MUSIC GROUP FAN (PET HEAD),SEXUAL REFERENCE
PHAT BTM,NICK NAME,FAT BUT
PIE ASO,"COMBINING THE TWO CREATES THE SOUND OF MY NICKNAME THAT IS ""PAYASO"" WHICH MEANS CLOWN IN SPANISH AND IS TAKEN ALREADY",PIE VAGINA
PIIG PEN,FAMILY QUOTE,PIG PEN
POWDERS,GOD WORK,COCAINE
PURE FN,MY COMPANY NAME IS PURE FINANCIAL,PURE FUN OR PURE SEX
PURE LVN,PURE LIVING,PURE LOVIN
RAWLOV1,MY HUSBAND INITIALS. HE PAST AWAY, MY LOVE ONE,RAW LOVE
RD RAWKT,APPEARANCE OF RED CAR LOOKS LIKE A RED ROCKET,ROCKET
REAL GTA,"MY PARTNER RUNS THE GROFF THEATER ACADEMY ""GTA"" THEREFORE THE REAL GTA.",GRAND THEFT AUTO
ROCKIT 2,ROCKIT IS THE NAME OF MY DOG,ROCKET
SBUTMTY,SMALL BUT MIGHTY,BUTT
SC TACO,SUPER CHARGED TACOMA,TACO
SMART G,MY SON'S NAMES (SONTIAGO, MATEO AND ARTURO) THE G IS FOR OUR LAST NA,G AS IN GANGSTER
SPCODYC,SPACE ODYSSEY,SPECIAL DICK
SSF13,SOUTH SAN FRANCISCO, LUCKY NUMBER,13 GANG REFERENCE
STKNFST,OLD RACE TEAM,STICK AND FEAST SEXUAL REFERENCE
S4 FTW,THE CAR IS AN S4 AND FTW MEANS FOR THE WIN.,FUCK THE WORLD
S488670,RANDOM NUMBERS BETWEEN INITIALS.,LOOK  A LIKE
TATA 53,IN MEMORY OF MY FATHER WITH HIS BIRTH YEAR...,TATA BREAST
THRU HIK,HIKING,HIKL DEROGATORY
TOWN POS,TOWING PILES OF SCRAP...,POS PIECE OF SHIT
TPTIONL,CONVERTIBLE CAR,TOP OPTIONAL
T1HZTA3,THIS FAMILY HAS 3,EAT SHIT BACKWARDS
UNCLBUK,UNCLE BUCK,THERE IS A TERM MY NAME IS BUCK AND I LIKE TO F%%* HOWEBER CUSTOMER LAST NAME IS BUCK
VDUB F G,,G AS IN GANGSTER
WHTYAYO,MY DOGS NAME,WHAT YAYO COCAINE
WR 760,WHITE RICE 760,760 AREA CODE
YEHAWMF,YE HAW MY FRIENDS,YEHAW MOTHER FUCKER
ZO7 KILR,IT MEANS IT IS BETTER THAN A CERTAIN TYPE OF CAR,KILLER BEEZ
1DAMRAM,DWAYNE A MARTIN DODGE RAM,DAM
1KINGS8,#1 KINGS (AND PERSONAL JERSEY #8),18 HITLER REFERENCE
4MRFISH,FOR MISTER FISH,FORMER FISH
4SAABG,FOR DAD,G AS IN GANGSTER
4X44TNT,FOUR WHEEL DRIVE FOR TODD AND TRACY,TNT BOMB
69LUV N,LOVING MY 69 GMC,69 LOVIN
69MXNVW,MEXICAN VW BEETLE MADE IN 1969.,69 SEXUAL REFERENCE
8B8BB8,N/A,LOOK A LIKE
8EIGHTS,LUCKY NUMBER,88 HITLER REFERENCE
88 FAN,NUMBER 88 IS DALE EARNHARTS JR RACE CAR NUMBER. THE PLATE MEANS THAT I'M A DALE EARNHARTS JRS NUMBER 88 FAN.,88 HITLER REFERENCE
88888JS,8 IS THE LUCKY NUMBER IN CHINESE,88 HITLER REFERENCE
9BLKCAT,9 GRANDCHILDREN JAGUAR CAR,CAT
9 NINA,MOTHER'S NAME,NINAANOTHER WORD FOR 9MM GUN
909 LIFE,CELEBRATION OF LIFE IN THE 909 AREA CODE,909 AREA CODE
911 89,MODEL & YEAR,911 EMERGENCY
3B$CHON,WE OWN 3 BICHON FRISE DOGS. THIS IS NOT A SWEAR WORD.,3 BITCHIN
MY BLU1,MY BLUE ONE,BLUE
OO1 G,NO MEANING,G AS IN GANGSTER
DHILN 88,ABBREVIATED LAST NAME 88 YEAR MY SON WAS BORN,88 HITLER REFERENCE
SHUTT ON,FIRST INITIAL AND LAST NAME,SHIT ON
BLUVED,BELOVED,BLUE
M1O7A1,MILITARY DESIGNATION FOR A RIFLE I USED WHEN I WAS IN SERVIC(USMC),LOOK A LIKE
BSD 88,INITIALS OF MY FULL NAME 88 IS GOOD FENG SHUI,88 HITLER REFERENCE
C7 GS,NAME OF CAR,GUN
DNKYNKR,DONKEY KNOCKER WHICH MEANS HUGE FRONT BUMPER AND BRUSHGAURD,DONKEY ASS
DONKEY P,,DONKEY ASS
GO AHDH8,GO AHEAD HATE,GO AHEAD AND HATE
GRCEMFT,LISA GRACE, MFT.,GRACE MOTHER FUCKIN T
JCS FOOL,I DO THINGS THAT NON-CHRISTIANS MIGHT THINK ARE FOOLISH - LIKE MISSIONARY WORK,FOOL
LUCH BK,NAME & BIRTH PLACE.,BK BLOOD KILLER GANG REFERENCE
LYV FISH,THE OWNER IS A FISHERMAN AND SELLS LIVE FISH OFF HIS BOAT. ALSO HIS LAST NAME IS LYFORD, SO IT HAS A DOUBLE MEANING,FISH
MAKTUB,DESTINY,BUT CAM BACKWARDS
MAXXPSI,SUPERCHARGER CAR,PSI LOOKS LIKE VAGINA
MH 14,MAHARASHTRA, INDA REGISTERATION,14 GANG REFERENCE
O11O1,THIS IS THE SAME UNIQUE NUMBER THAT WAS ISSUED ON MY CALIFORNIA OLYMPICS PLATE IN 2000.,LOOK  A LIKE
ROLLA93,COROLLA 1993,ROLLA ROLL UP
R4TEEN8,ROMANS 14:8,14 GANG REFERENCE
SACHRNT,SACRAMENTO STATE HORNET,LOOKS LIKE SOCCER NUT .. NUT
SACRILG,SACRILEGE,SACRELIGIOUS
SLUG BUS,PLATE IS GOING ON A VW BUS,SLUG BUS SLOW BUS
YOTIP,YOTIP IS MY NICKNAME IN REVERSE,YOUR TIP TIP COULD BE A SEXUAL REFERENCE
OG TIME,OG TIME,OG ORIGINAL GANGSTER
B CHEEE,"IT SOUNDS LIKE ""BEACHY""",BITCHY
MYAAHTA,MY MIATA,SPANISH CURSE WORD
14 ALOHA,"14 IS MY LUCKY NUMBER AND ALOHA MEANS ""TO LOVE IS TO SHARE IN THE HAPPINESS OF THE BREATH OF LIFE""! PERFECTION!!!!",14 GANG REFRENCE
BGOONIN,I play hockey,GOON THUG GANGSTER
BOMSKLK,boomshakalaka,LOOKS LIKE BOMBS
CH84GB,,SEE HATE FOR GB
DEAD FAM,grateful dead family,DEAD FAMILY
E338YO,,LOOK  A LIKE
FICK U67,,LOOKS LIKE FUCK YOU CUSTOMER LAST NAME IS FICK
FY JIM,,FUCK YOU JIM
GWT OPC,god we trust others pay cash,CAN NOT TRANSLATE
HITISUE,hit me ill sue,HIT AND I SUE
MUSCL D,,D COULD BE A SEXUAL REFERENCE
OMENA D,,OMENA MEANS APPLE IN FINNISH D STAND ALONE
PB 11 G,hometown plate in india,G AS IN GANGSTER
STR8BLN,nick name,STRAIGHT BALLIN
TRAWW,name,T RAW
U R N 4IT,you are in for it,U ARE IN FOR IT
VISTA 88,,88 HITLER REFERENCE, HOWEVER COMPANY HAS OTHER SEQUENCES AS WELL
